Метро	Адрес	Планировка	Площадь, м2	Этаж	Этажность здания	Цена, руб.	Описание
Славянский бульвар	Москва, ЗАО, р-н Очаково-Матвеевское, м. Славянский бульвар, Нежинская улица, 1к1	6-комн. кв.	685	28	31	569959275	
Бульвар Адмирала Ушакова	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, аллея Витте, 2	2-комн. кв.	53	4	17	8250000	
Рижская	Москва, СВАО, р-н Алексеевский, м. Рижская, проспект Мира, 102к1	2-комн. кв.	46	7	8	11180000	
Пражская	Москва, ЮАО, р-н Чертаново Центральное, м. Пражская, улица Красного Маяка, 9	1-комн. кв.	32	6	9	5250000	Продаётся чистенькая , уютная квартира с мебелью ( кухня с холодильником,стенка , диван , стиральная машинка) всё входит в цену квартиры,, окна стеклопакеты новые , Удачное расположение дома , рядом метро Пражская ,  во дворе детский сад и школа, в доме магазин Билл, в пешей доступности лес. Чистый подъезд ,хорошие соседи. Один собственник  , наследство   по закону 2018 года от матери к сыну ( единственный ребёнок ), квартира была  в  собственности одной семьи ,  перехода права не было . Свободна юридически и физически , быстрый выход на сделку.
Домодедовская	Москва, ЮАО, р-н Орехово-Борисово Южное, м. Домодедовская, Каширское шоссе, 134	1-комн. кв.	34	8	12	5700000	Один собственник (взрослый). В квартире никто не зарегистрирован. В собственности более 3 лет. Готова к продаже.  Окна во двор. Сделан косметический ремонт. Установлены современные пластиковые окна, радиаторы отопления, счётчики на воду. В комнате установлен кондиционер Mitsubishi и большой встроенный шкаф с зеркалом. Продается с мебелью и техникой. Общая площадь: 34,4; жилая: 19,1.  Огороженный тамбур на 3 квартиры. Мусоропровод. Грузовой и пассажирский лифт. В подъезде чисто.  Метро в пешей доступности.  Во дворе - детская площадка; всегда достаточно парковочных мест.  Развитая инфраструктура - ТЦ Вегас (10 мин в сторону области, остановка напротив дома); ТЦ Домодедовский и ТЦ Водолей (у метро).
Южная	Москва, ЮАО, р-н Чертаново Северное, м. Южная, Сумская улица, 6К3	1-комн. кв.	34	3	9	5800000	Отличная квартира в шаговой доступности от метро (третий дом от метро). Дом находится в тихом дворе,  закрытом от городского шума.  Большой двор с детской площадкой. Квартира в хорошем состоянии, раздельный санузел, новая встроенная кухня, два вместительные шкафа купе, хороший дубовый паркет. Более трех лет в собственности. Один взрослый собственник. Альтернатива подобрана.
	Москва, ЮАО, р-н Даниловский, Автозаводская улица, 23К7	2-комн. кв.	40	2	4	5900000	"ПРОДАЖА!!! АПАРТАМЕНТЫ в центре Москвы (40 кв.м.) - 2 уровня, 1-й (21 кв.м.) - гостиная и кухня, 2-й (19 кв.м.) - спальная с санузлом и гардеробной (с ремонтом, мебелью и сантехникой). Расположение 2 этаж/4эт. здания с окнами на ТТК, напротив ТЦ РИВЬЕРА, развитая инфраструктура, социальные, культурные, образовательные и развлекательные учреждения, 9 километров от Кремля, в шаговой доступности станция метро ""Автозаводская"", ""Тульская"", Московское Центральное Кольцо, новая многофункциональная парковая зона и набережная Москвы-реки. Ресепшн (на фото), круглосуточная охрана, видео наблюдение.  Свободная продажа, в собственность."
ЗИЛ	Москва, ЮАО, р-н Даниловский, м. ЗИЛ, Автозаводская улица, 23К7	2-комн. кв.	40	3	4	5990000	"АПАРТАМЕНТЫ В ЦЕНТРЕ МОСКВЫ, ОКНА С ВИДОМ ВО ДВОР! Продажа Апартаментов (40 кв.м) - 2 уровня, 1-й (21 кв.м.) - гостиная и кухня, 2-й (19 кв.м.) - спальная с санузлом и гардеробной, С РЕМОНТОМ И МЕБЕЛЬЮ. Расположение 3 этаж/4эт. здания в центре Москвы, развитая инфраструктура, социальные, культурные, образовательные и развлекательные учреждения, 10 минут пешком от метро ""Автозаводская"" и 9 километров от Кремля. В шаговой доступности новая многофункциональная парковая зона и набережная Москвы-реки. Ресепшн (на фото), круглосуточная охрана, видео наблюдение."
ЗИЛ	Москва, ЮАО, р-н Даниловский, м. ЗИЛ, Автозаводская улица, 23К7	2-комн. кв.	40	3	5	6000000	Двухуровневые арартаменты на ттк метро Автозаводская , Тульская . Напрртив ТЦ Ривьера . Охрана . Два санузла , ванна , балкон, окна во двор . Риэлторам не беспокоить
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13Б4	1-комн. кв.	48	26	31	6250542	ЛУЧШАЯ ЦЕНА в Башнях Токио! СДАЧА в 2018 году!  НИКАКИХ ДОПОЛНИТЕЛЬНЫХ РАСХОДОВ И КОМИССИЙ! СКИДКИ от указанной цены!  Продается современная однокомнатная квартира в самом стильном ЖК в Бутово  Эталон Сити! ВИД НА БУТОВСКИЙ ЛЕСОПАРК! Просторная и функциональная (см. фото планировки): светлые комнаты, большая комната соединена с кухней, которая отделяется передвижной перегородкой, есть гардеробная, застекленная лоджия (отделена от комнаты панорамными дверями). Качество строительства порадует даже взыскательного покупателя: современные материалы, высокое качество работ!. Метро Скобелевская на расстояние легкой прогулки. В комплексе предусмотрено все для комфортной и безопасной жизни: двор без машин, подземный паркинг, детский сад и школа, ФОК с бассейном и даже собственный ботанический сад!  ПОКУПАЙТЕ СЕЙЧАС- ПЛАТИТЕ ПОТОМ: рассрочки и ипотека для Вас! Подробности по телефону. Звоните Ольга   , Москва, Юго-Западный административный округ, Старокрымская улица вл13Б4, м. Скобелевская улица, 1 комн., общ. пл. 47.87 кв.м., жил.пл. 17.6 кв.м., комнаты 17.6, кухня 12 кв.м., 26/31 этаж, окна панорамный вид, санузел совмещенный, лоджия, без отделки
	Москва, ЮАО, р-н Даниловский, Автозаводская улица, 23К7	1-комн. кв.	58	3	5	6500000	"ПРОДАЖА!!! Апартаменты в шаговой доступности от метро Автозаводская, Тульская, Московская Центральная Кольцевая. Апартаменты с панорамным окном на ТЦ ""РИВЬЕРА"" 3 эт./5эт. здания, 40.3м2 + 17.2м2 - антресоль (с ремонтом, мебелью и сантехникой). Рядом со зданием расположены ТЦ РИВЬЕРА, Ледовый Дворец, многофункциональная парковая зона и Набережная Москвы реки, развитая инфраструктура, социальные, культурные, образовательные и развлекательные учреждения. Входная группа с круглосуточной охраной, видео наблюдение. Свободная продажа."
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13Б4	1-комн. кв.	49	2	31	6820099	Номер лота: 2171030, ПОЛНОЦЕННАЯ ОДНОКОМНАТНАЯ КВАРТИРА В ЖК БИЗНЕС КЛАССА C ЕВРОРЕМОНТОМ!  ЦЕНА УКАЗАНА БЕЗ СКИДКИ ДО 3%!!!! ЛУЧШИЙ ЖИЛОЙ КОМПЛЕКС В ЭТОЙ ЛОКАЦИИ!!!  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА!!!  ОТ НАШЕЙ КОМПАНИИ ВЫ ПОЛУЧИТЕ СЕРТИФИКАТ НА БЫТОВУЮ ТЕХНИКУ В РАЗМЕРЕ 50.000!!!  Жилой комплекс Эталон-Сити  это современное пространство для жизни. В вашем распоряжении: развитая инфраструктура, собственный фитнес-центр с бассейном, охраняемые благоустроенные дворы без машин, прогулочные и игровые зоны.  Микрорайон расположен в окружении соснового бора, на примыкающей части которого будет реализован ландшафтный парк с готовыми местами для отдыха и прогулочными маршрутами.  Жильцы дома смогут прогуливаться по своему личному ботаническому саду. Он спланирован таким образом, чтобы служить местом не только для отдыха, но и для обучения. Каждое растение отмечено табличкой,что особенно приятно для прогулок с детьми  Вы легко ответите на любые вопросы, а они быстро получат массу новых эмоций и знаний.  Такое времяпрепровождение, а также школа и детский сад на территории обеспечат маленьким обитателям Эталон-Сити качественное и интересное образование в уникальной развивающей и творческой среде.  Торговый комплекс с магазинами, ресторанами и кафе, располагающийся на территории ЖК, позволят Вам делать покупки и отдыхать, не тратя свое время на дорогу.  Встроенный трехуровневый паркинг даст Вам возможность быстро уезжать по делам и возвращаться домой, не беспокоясь о парковке и безопасности автомобиля. Для гостей комплекса предусмотрена благоустроенная наземная парковочная территория., Москва, Юго-Западный административный округ, Старокрымская улица вл13Б4, м. Скобелевская улица, 1 комн., общ. пл. 49.28 кв.м., жил.пл. 17.6 кв.м., комнаты 17.6, кухня 12 кв.м., 2/31 этаж, санузел совмещенный, лоджия, евроремонт
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13	2-комн. кв.	54	12	31	7600000	"54 кв/м!!!  С КАЧЕСТВЕННОЙ ОТДЕЛКОЙ В ПАСТЕЛЬНЫХ ТОНАХ!  ДОМ МОНОЛИТНЫЙ!!!   ЖК БИЗНЕС-КЛАССА!!! ПАНОРАМНЫЙ ВИД ИЗ ОКОН!   СОВРЕМЕННАЯ, ФУНКЦИОНАЛЬНАЯ ДВУХКОМНАТНАЯ КВАРТИРА с ГАРДЕРОБНОЙ и ЛОДЖИЕЙ. ПОДЗЕМНЫЙ ПАРКИНГ! КОНСЬЕРЖ И ВИДЕОНАБЛЮДЕНИЕ! ОГОРОЖЕННАЯ ТЕРРИТОРИЯ с пропускной системой. Отличная транспортная доступность: есть возможность дойти пешком до станции метро ""Улица Скобелевская"" - 12 мин., или доехать на транспорте до станции ""Бульвар Дмитрия Донского"", также на расстоянии 3,5 км от комплекса расположен съезд на МКАД. Жилой комплекс расположен в районе Северное Бутово РЯДОМ С ЛЕСОПАРКОМ. Монолитные дома с вентилируемыми фасадами оснащены лифтами OTIS.  Одним из главных преимуществ данного комплекса является развитая инфраструктура для всех членов семьи НА ТЕРРИТОРИИ КОМПЛЕКСА: школа, детский сад, магазины, фитнес-центр с бассейном, кафе, рестораны, игровые и прогулочные зоны!!! Отличная транспортная доступность: есть возможность дойти пешком до станции метро ""Улица Скобелевская"" - 12 мин., или доехать на транспорте до станции ""Бульвар Дмитрия Донского"", также на расстоянии 3,5 км от комплекса расположен съезд на МКАД.  Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 рублей на кухонную технику. Поможем с одобрением ипотеки!"
Бульвар Дмитрия Донского	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Дмитрия Донского, Старокрымская улица, 15к1	1-комн. кв.	44	22	23	7650001	Акция Меньше, да лучше на студии в корп.3  СКИДКА 3% ВЫГОДА 1.5 млн.руб.  ВЫДАЧА КЛЮЧЕЙ СРАЗУ ПОСЛЕ ОПЛАТЫ.  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).   Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 руб. на кухонную технику от компании-партнера.  ДОМ СДАН.  Беспроцентная рассрочка, ипотека от 6 % , военная ипотека , материнскай капитал.  ЗВОНИТЕ И ПОЛУЧАЙТЕ УНИКАЛЬНЫЕ ПРЕДЛОЖЕНИЯ И ПЕРСОНАЛЬНЫЕ СКИДКИ ПРЯМО СЕЙЧАС!   Продается квартира 44.1 кв.м. с предчистовой отделкой в самом стильном ЖК бизнес- класса Эталон-Сити. ЖК отличается своей архитектурой: строительство комплекса выполняется с применение современных инженерных и строительных решений, используются только экологически чистые материалы. Территория комплекса огорожена, действует пропускная система, находится под круглосуточной охраной, видеонаблюдением, предусмотрены уютные дворы свободные от транспорта с благоустроенными прогулочными зонами. Есть возможность приобрести парковочное м/м , в подземном паркинге каждого из корпусов расположена автомойка, предусмотрены паркоматы для гостей комплекса. ЖК обеспечен всеми необходимыми социально-бытовыми учреждениями: магазины, супермаркеты, ТРЦ, аптеки, салоны красоты, также на территории предусмотрено размещение школ и детских дошкольных учреждений.
Шоссе Энтузиастов	Москва, ВАО, р-н Соколиная гора, м. Шоссе Энтузиастов, проспект Буденного, 51к4	1-комн. кв.	42	30	32	7979698	РАСПРОДАЖА ОСТАТКОВ! ЦЕНА указана БЕЗ УЧЕТА скидки, ЗВОНИТЕ И ПОЛУЧАЙТЕ ПЕРСОНАЛЬНЫЕ ПРЕДЛОЖЕНИЯ ПРЯМО СЕЙЧАС!  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).  БЕСПРОЦЕНТНАЯ РАССРОЧКА. ИПОТЕКА от 6%.  Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 рублей на кухонную технику от Миэль В беляево.   Комплекс СДАН. Выдача КЛЮЧЕЙ СРАЗУ, после оплаты. Оформление по ДКП.  Золотая звезда- это жилой комплекс комфорт-класса. Расположен в районе Соколиной горы, Восточного административного округа г. Москвы, на проспекте Буденного. Съезд на ТТК находится в 2,8 км по шоссе Энтузиастов. В конце 2018 года будет построена Северо-Восточная хорда, которая будет проходить мимо ЖК Золотая Звезда и позволит перераспределить транспортные потоки между Измайловским шоссе, Щелковским шоссе, шоссе Энтузиастов и проспектом Буденного, что обеспечит бессветофорное движение на участке от шоссе Энтузиастов до Щелковского Шоссе.  Продается 1-комнатная квартира в ЖК Золотая Звезда, в благоустроенном районе с развитой социально-бытовой инфраструктурой. Квартира продается без отделки площадью 42 кв.м и расположена на 30 этаже, в монолитном охраняемом доме.   В комплексе есть все необходимое для комфортного проживания:  огороженная дворовая территория;  встроенный и наземный паркинг;  круглосуточное видеонаблюдение;  детский сад на 180 мест и начальная школа на 340 учащихся;  детские игровые комплексы и спортивные площадки;   зона отдыха;  крупные торговые центры вблизи комплекса: ТЦ Буденовский Плехановский Пассаж, ТЦ 31, Город, ТЦ Семеновский;  магазины и супермаркеты в шаговой доступности;  в районе комплекса работают детский сад, школа и две гимназии; -стадион Крылья Советов в 5 мин. езды от комплекса;  в 800 м от комплекса расположен Измайловский парк, где работают конноспортивный центр, аттракционы и детские игровые площадки.  Транспортная доступность: В районе ЖК Золотая звезда ходят все виды наземного транспорта. Добраться до дома пешком можно от станции метро Шоссе Энтузиастов за 12 мин и от станции м
